     clean_test    budget  domgross
1        notalk  13000000  25682380
2            ok  45000000  13414714
3        notalk  20000000  53107035
4        notalk  61000000  75612460
5           men  40000000  95020213
6           men 225000000  38362475
7        notalk  92000000  67349198
8            ok  12000000  15323921
9            ok  13000000  18007317
10       notalk 130000000  60522097
11           ok  40000000 148430908
12           ok  25000000  37304874
13           ok  50000000  19452138
14           ok  18000000  33345833
15       notalk  55000000 107136417
16           ok  30000000  35266619
17      nowomen  78000000 119640264
18           ok  76000000 368065385
19      dubious   5500000  24477704
20           ok 120000000  93050117
21          men 110000000  61737191
22           ok 100000000 107518682
23           ok  40000000  57012977
24          men  70000000  25213103
25           ok  17000000  54239856
26           ok 160000000 238679850
27           ok 150000000 393050114
28           ok 140000000 122523060
29       notalk  60000000  46000903
30           ok  30000000   4167493
31      nowomen 110000000 271814796
32          men  80000000 133668525
33           ok  50000000  55703475
34          men  23000000  25000178
35          men  35000000 134506920
36          men   5000000  83586447
37      dubious 200000000 408992272
38      nowomen 195000000  65187603
39           ok  28000000  28795985
40       notalk  28000000  63914167
41           ok  30000000 116632095
42           ok   2000000   8008161
43           ok  15000000  71628180
44           ok 225000000 291045518
45           ok  12000000  17482517
46       notalk  75000000 117723989
47          men 120000000  89107235
48       notalk  70000000  98927592
49           ok 200000000 234770996
50       notalk 190000000 101802906
51       notalk  26000000  49875291
52           ok  35000000  17616641
53      dubious  15000000   9177065
54           ok  90000000  68559554
55           ok  46000000  61002302
56       notalk 130000000  33618855
57           ok  84000000  53262560
58       notalk  38000000  42025135
59      nowomen  30000000  19316646
60       notalk  38000000  26947624
61           ok  28000000  71399120
62           ok  35000000  82834332
63           ok  30000000  32172757
64       notalk 190000000 228778661
65           ok  20000000  34341945
66           ok  32500000  21819348
67           ok  19000000  21345525
68           ok  13000000  51872378
69           ok  20000000 137400141
70           ok  25000000  16973715
71          men 135000000 187168425
72          men  30000000  36918811
73       notalk  26000000   3254172
74      nowomen  19200000      #N/A
75      dubious 190000000 144840419
76          men 103000000 112200072
77           ok  43000000 159581587
78       notalk 250000000 257397516
79      dubious  50000000  26623701
80           ok 130000000 424088260
81       notalk  32000000  22537881
82       notalk  58000000  44672764
83           ok   4000000  15179303
84       notalk 275000000  89289910
85           ok  60000000  31165421
86      dubious   3000000  64473115
87           ok 110000000  71017784
88           ok   1500000   3491669
89           ok   5000000  21502690
90       notalk 100000000 115702857
91           ok 115000000 132556852
92          men  20000000  26004851
93       notalk  32000000 101470202
94      dubious 170000000 204674790
95      nowomen  16000000   2322593
96      dubious 135000000  83028130
97          men  30000000  66380662
98           ok  37000000 150394119
99          men 150000000  73103784
100     dubious 190000000 202359711
101     dubious  67500000  37519139
102     nowomen  12000000  70012847
103     dubious   9700000   6738954
104         men  49000000  12816367
105          ok  44500000 136025503
106      notalk 209000000  65235400
107     dubious   1800000  12795746
108          ok   1200000    595018
109          ok 185000000 237282182
110     nowomen  55000000   9489829
111      notalk   1000000  18119640
112      notalk  12000000  64575175
113          ok 102000000  27108272
114          ok  25000000  66528000
115      notalk 100000000 162805434
116     dubious  31000000  93772375
117     nowomen  39000000  35287788
118          ok  87000000 165092266
119          ok  85000000 148313048
120      notalk  60000000  80070736
121         men   3450000    687185
122          ok 275000000  73058679
123     nowomen  15000000  14945541
124          ok  65000000 148809770
125      notalk 120000000 124987022
126          ok  65000000 182207973
127         men 145000000 216391482
128      notalk 215000000 179020854
129     dubious  85000000  64935167
130          ok  16000000  45512466
131     dubious   8000000  22549338
132          ok  42000000  26414527
133          ok   5000000  53900335
134      notalk  60000000  56003051
135          ok  25000000  77267296
136          ok  16000000  12431792
137          ok  17000000  65001093
138          ok  35000000  20275446
139      notalk  65000000  44806783
140         men  58000000  49876377
141      notalk 145000000 103412758
142          ok  70000000  38518613
143      notalk  33000000  17142080
144          ok    750000   4010957
145      notalk  13500000  15024049
146          ok  20000000  17530219
147          ok  21000000 132092958
148         men   3000000  48086903
149     dubious 200000000 304360277
150          ok 170000000 155136755
151          ok  10000000  24397469
152          ok   5000000  14124286
153          ok  33000000  35074677
154         men     60000      4917
155         men  50000000 218665740
156      notalk  67500000  36931089
157         men 220000000 262030663
158      notalk  60000000  23385416
159      notalk 275000000 448139099
160          ok   1000000  53261944
161      notalk  65000000  59650222
162          ok 100000000  85028192
163     nowomen  25000000  51580136
164     nowomen 250000000 303003568
165          ok  80000000 408010692
166         men  40000000  19019882
167      notalk  15000000  15634090
168      notalk  37500000  16247159
169      notalk  55000000  31051126
170      notalk  15000000  21403519
171     dubious 136200000 292324737
172          ok   8738320 125014030
173         men  55000000  34353000
174      notalk  15000000  54333290
175      notalk   6000000  11494838
